VW_30cm,T_30cm,Class,,
0.34900,10.10000,Tolarate,,
0.34900,10.10000,Tolarate,,
0.34900,10.10000,Tolarate,,
0.34900,10.20000,Tolarate,,
0.34900,10.30000,Tolarate,,
0.34900,10.40000,Tolarate,,
0.34900,10.60000,Tolarate,,
0.34900,10.70000,Tolarate,,
0.34900,10.90000,Tolarate,,
0.35000,11.00000,Tolarate,,
0.35000,11.00000,Tolarate,,
0.34900,11.10000,Tolarate,,
0.34900,11.10000,Tolarate,,
0.34900,11.00000,Tolarate,,
0.34800,11.00000,Tolarate,,
0.34900,10.90000,Tolarate,,
0.34800,10.80000,Tolarate,,
0.34700,10.70000,Tolarate,,
0.34700,10.60000,Tolarate,,
0.34600,10.50000,Tolarate,,
0.34600,10.40000,Tolarate,,
0.34500,10.30000,Tolarate,,
0.34500,10.10000,Tolarate,,
0.34400,10.00000,Tolarate,,
0.34400,10.00000,Tolarate,,
0.34300,10.00000,Tolarate,,
0.34300,10.10000,Tolarate,,
0.34300,10.30000,Tolarate,,
0.34300,10.50000,Tolarate,,
0.34400,10.70000,Tolarate,,
0.34400,10.90000,Tolarate,,
0.34500,11.10000,Tolarate,,
0.34500,11.30000,Tolarate,,
0.34500,11.40000,Tolarate,,
0.34500,11.50000,Tolarate,,
0.34500,11.50000,Tolarate,,
0.34500,11.50000,Tolarate,,
0.34400,11.50000,Tolarate,,
0.34400,11.40000,Tolarate,,
0.34400,11.30000,Tolarate,,
0.34400,11.20000,Tolarate,,
0.34300,11.10000,Tolarate,,
0.34200,11.00000,Tolarate,,
0.34200,10.90000,Tolarate,,
0.34200,10.90000,Tolarate,,
0.34200,10.80000,Tolarate,,
0.34200,10.70000,Tolarate,,
0.34000,10.60000,Tolarate,,
0.34000,10.60000,Tolarate,,
0.34000,10.70000,Tolarate,,
0.34000,10.70000,Tolarate,,
0.33900,10.80000,Tolarate,,
0.33900,10.90000,Tolarate,,
0.33900,11.00000,Tolarate,,
0.33900,11.20000,Tolarate,,
0.33900,11.30000,Tolarate,,
0.33900,11.40000,Tolarate,,
0.34000,11.50000,Tolarate,,
0.34000,11.60000,Tolarate,,
0.33900,11.60000,Tolarate,,
0.33900,11.60000,Tolarate,,
0.34000,11.60000,Tolarate,,
0.33900,11.50000,Tolarate,,
0.33900,11.40000,Tolarate,,
0.33800,11.30000,Tolarate,,
0.33800,11.20000,Tolarate,,
0.33800,11.10000,Tolarate,,
0.33700,11.00000,Tolarate,,
0.33700,10.90000,Tolarate,,
0.33700,10.80000,Tolarate,,
0.33600,10.70000,Tolarate,,
0.33600,10.60000,Tolarate,,
0.33500,10.60000,Tolarate,,
0.33400,10.60000,Tolarate,,
0.33400,10.60000,Tolarate,,
0.33400,10.70000,Tolarate,,
0.33400,10.80000,Tolarate,,
0.33400,11.00000,Tolarate,,
0.33400,11.10000,Tolarate,,
0.33400,11.30000,Tolarate,,
0.33400,11.50000,Tolarate,,
0.33500,11.60000,Tolarate,,
0.33500,11.70000,Tolarate,,
0.33500,11.80000,Tolarate,,
0.33500,11.80000,Tolarate,,
0.33500,11.80000,Tolarate,,
0.33500,11.70000,Tolarate,,
0.33400,11.70000,Tolarate,,
0.33400,11.60000,Tolarate,,
0.33400,11.60000,Tolarate,,
0.33400,11.50000,Tolarate,,
0.33300,11.40000,Tolarate,,
0.33300,11.30000,Tolarate,,
0.33200,11.20000,Tolarate,,
0.33200,11.20000,Tolarate,,
0.33100,11.10000,Tolarate,,
0.33100,11.10000,Tolarate,,
0.33000,11.10000,Tolarate,,
0.33000,11.10000,Tolarate,,
0.32900,11.10000,Tolarate,,
0.33000,11.20000,Tolarate,,
0.32900,11.30000,Tolarate,,
0.32900,11.50000,Tolarate,,
0.32900,11.60000,Tolarate,,
0.32800,11.70000,Tolarate,,
0.32900,11.80000,Tolarate,,
0.33000,11.80000,Tolarate,,
0.33000,11.80000,Tolarate,,
0.33000,11.80000,Tolarate,,
0.33000,11.80000,Tolarate,,
0.33000,11.70000,Tolarate,,
0.33000,11.70000,Tolarate,,
0.33000,11.60000,Tolarate,,
0.32900,11.60000,Tolarate,,
0.33000,11.50000,Tolarate,,
0.32900,11.40000,Tolarate,,
0.32900,11.30000,Tolarate,,
0.32900,11.20000,Tolarate,,
0.32900,11.20000,Tolarate,,
0.32800,11.10000,Tolarate,,
0.32800,11.00000,Tolarate,,
0.32800,11.00000,Tolarate,,
0.32800,11.00000,Tolarate,,
0.32800,11.00000,Tolarate,,
0.32700,11.00000,Tolarate,,
0.32700,11.10000,Tolarate,,
0.32700,11.10000,Tolarate,,
0.32800,11.10000,Tolarate,,
0.32700,11.20000,Tolarate,,
0.32800,11.20000,Tolarate,,
0.32900,11.20000,Tolarate,,
0.33100,11.20000,Tolarate,,
0.33300,11.20000,Tolarate,,
0.33500,11.10000,Tolarate,,
0.33700,11.10000,Tolarate,,
0.33700,11.10000,Tolarate,,
0.33800,11.00000,Tolarate,,
0.33900,11.00000,Tolarate,,
0.33900,10.90000,Tolarate,,
0.33900,10.80000,Tolarate,,
0.33900,10.80000,Tolarate,,
0.33900,10.70000,Tolarate,,
0.33900,10.70000,Tolarate,,
0.33900,10.60000,Tolarate,,
0.33900,10.60000,Tolarate,,
0.33900,10.50000,Tolarate,,
0.33900,10.50000,Tolarate,,
0.34000,10.40000,Tolarate,,
0.34100,10.40000,Tolarate,,
0.34300,10.40000,Tolarate,,
0.34300,10.30000,Tolarate,,
0.34500,10.30000,Tolarate,,
0.34600,10.30000,Tolarate,,
0.34700,10.30000,Tolarate,,
0.34800,10.30000,Tolarate,,
0.34800,10.30000,Tolarate,,
0.34800,10.20000,Tolarate,,
0.34800,10.20000,Tolarate,,
0.34800,10.20000,Tolarate,,
0.34800,10.10000,Tolarate,,
0.34700,10.00000,Tolarate,,
0.34700,10.00000,Tolarate,,
0.34700,9.90000,Tolarate,,
0.34700,9.80000,Tolarate,,
0.34700,9.70000,Tolarate,,
0.34600,9.70000,Tolarate,,
0.34600,9.60000,Tolarate,,
0.34500,9.60000,Tolarate,,
0.34500,9.60000,Tolarate,,
0.34500,9.60000,Tolarate,,
0.34500,9.80000,Tolarate,,
0.33200,7.50000,Tolarate,,
0.34800,11.30000,Tolarate,,
0.34800,11.50000,Tolarate,,
0.34900,11.70000,Tolarate,,
0.34900,11.80000,Tolarate,,
0.34900,11.80000,Tolarate,,
0.34900,11.80000,Tolarate,,
0.34900,11.80000,Tolarate,,
0.34800,11.70000,Tolarate,,
0.34800,11.60000,Tolarate,,
0.34800,11.50000,Tolarate,,
0.34800,11.40000,Tolarate,,
0.34700,11.30000,Tolarate,,
0.34700,11.20000,Tolarate,,
0.34600,11.10000,Tolarate,,
0.34500,11.00000,Tolarate,,
0.34400,10.90000,Tolarate,,
0.34400,10.90000,Tolarate,,
0.34300,10.90000,Tolarate,,
0.34200,11.00000,Tolarate,,
0.34300,11.20000,Tolarate,,
0.34400,12.00000,Tolarate,,
0.34500,12.90000,Tolarate,,
0.34600,13.00000,Tolarate,,
0.34600,13.00000,Tolarate,,
0.34600,13.00000,Tolarate,,
0.34500,13.00000,Tolarate,,
0.34500,12.90000,Tolarate,,
0.34400,12.80000,Tolarate,,
0.34400,12.70000,Tolarate,,
0.34400,12.60000,Tolarate,,
0.34300,12.50000,Tolarate,,
0.34300,12.40000,Tolarate,,
0.34200,12.30000,Tolarate,,
0.34100,12.20000,Tolarate,,
0.33900,13.60000,Tolarate,,
0.34000,13.80000,Tolarate,,
0.34000,13.90000,Tolarate,,
0.34000,14.00000,Tolarate,,
0.34000,14.00000,Tolarate,,
0.34000,14.10000,Tolarate,,
0.34000,14.00000,Tolarate,,
0.34000,14.00000,Tolarate,,
0.33900,13.90000,Tolarate,,
0.33900,13.90000,Tolarate,,
0.33800,13.80000,Tolarate,,
0.33800,13.60000,Tolarate,,
0.33800,13.50000,Tolarate,,
0.33700,13.40000,Tolarate,,
0.33600,13.30000,Tolarate,,
0.33600,13.20000,Tolarate,,
0.33600,13.10000,Tolarate,,
0.33500,13.10000,Tolarate,,
0.33500,13.10000,Tolarate,,
0.33500,13.10000,Tolarate,,
0.33400,13.10000,Tolarate,,
0.33300,13.20000,Tolarate,,
0.33400,13.20000,Tolarate,,
0.33400,13.30000,Tolarate,,
0.33400,13.30000,Tolarate,,
0.33400,13.30000,Tolarate,,
0.33400,13.40000,Tolarate,,
0.33400,13.40000,Tolarate,,
0.33400,13.40000,Tolarate,,
0.33400,13.40000,Tolarate,,
0.33400,13.40000,Tolarate,,
0.33300,13.30000,Tolarate,,
0.33300,13.30000,Tolarate,,
0.33300,13.20000,Tolarate,,
0.33300,13.20000,Tolarate,,
0.33300,13.10000,Tolarate,,
0.33200,13.00000,Tolarate,,
0.33200,13.00000,Tolarate,,
0.33200,12.90000,Tolarate,,
0.33200,12.90000,Tolarate,,
0.33200,12.80000,Tolarate,,
0.33100,12.80000,Tolarate,,
0.33000,12.80000,Tolarate,,
0.33000,12.90000,Tolarate,,
0.33000,13.00000,Tolarate,,
0.33000,13.20000,Tolarate,,
0.33000,13.40000,Tolarate,,
0.33100,13.60000,Tolarate,,
0.33000,13.80000,Tolarate,,
0.33100,14.00000,Tolarate,,
0.33100,14.10000,Tolarate,,
0.33100,14.20000,Tolarate,,
0.33100,14.20000,Tolarate,,
0.33000,14.20000,Tolarate,,
0.33000,14.10000,Tolarate,,
0.33000,14.00000,Tolarate,,
0.32900,13.90000,Tolarate,,
0.32900,13.80000,Tolarate,,
0.32900,13.70000,Tolarate,,
0.32800,13.50000,Tolarate,,
0.32700,13.40000,Tolarate,,
0.32700,13.30000,Tolarate,,
0.32700,13.10000,Tolarate,,
0.32600,13.00000,Tolarate,,
0.32500,12.90000,Tolarate,,
0.32500,12.80000,Tolarate,,
0.32400,12.70000,Tolarate,,
0.32400,12.70000,Tolarate,,
0.32300,12.70000,Tolarate,,
0.32200,12.80000,Tolarate,,
0.32300,12.90000,Tolarate,,
0.32400,12.90000,Tolarate,,
0.32400,13.00000,Tolarate,,
0.32300,13.00000,Tolarate,,
0.32300,13.00000,Tolarate,,
0.32300,13.00000,Tolarate,,
0.32400,13.00000,Tolarate,,
0.32300,13.00000,Tolarate,,
0.32200,12.90000,Tolarate,,
0.32200,12.80000,Tolarate,,
0.32100,12.70000,Tolarate,,
0.32100,12.60000,Tolarate,,
0.32100,12.50000,Tolarate,,
0.32000,12.30000,Tolarate,,
0.31900,12.20000,Tolarate,,
0.31900,12.10000,Tolarate,,
0.31900,11.90000,Tolarate,,
0.31800,11.80000,Tolarate,,
0.31800,11.70000,Tolarate,,
0.31800,11.70000,Tolarate,,
0.31800,11.70000,Tolarate,,
0.31700,11.70000,Tolarate,,
0.31700,11.80000,Tolarate,,
0.31700,12.00000,Tolarate,,
0.31800,12.20000,Tolarate,,
0.31800,12.40000,Tolarate,,
0.31800,12.60000,Tolarate,,
0.31800,12.80000,Tolarate,,
0.31800,12.90000,Tolarate,,
0.31900,13.00000,Tolarate,,
0.31900,13.00000,Tolarate,,
0.31900,13.10000,Tolarate,,
0.31800,13.00000,Tolarate,,
0.31800,13.00000,Tolarate,,
0.31800,12.90000,Tolarate,,
0.31800,12.80000,Tolarate,,
0.31700,12.70000,Tolarate,,
0.31700,12.60000,Tolarate,,
0.31600,12.50000,Tolarate,,
0.31600,12.50000,Tolarate,,
0.31600,12.40000,Tolarate,,
0.31500,12.30000,Tolarate,,
0.31500,12.20000,Tolarate,,
0.31400,12.20000,Tolarate,,
0.31300,12.20000,Tolarate,,
0.31300,12.30000,Tolarate,,
0.31300,12.50000,Tolarate,,
0.31400,12.70000,Tolarate,,
0.31400,13.00000,Tolarate,,
0.31400,13.20000,Tolarate,,
0.31500,13.50000,Tolarate,,
0.31500,13.70000,Tolarate,,
0.31500,13.80000,Tolarate,,
0.31500,13.90000,Tolarate,,
0.31500,14.00000,Tolarate,,
0.31500,14.00000,Tolarate,,
0.31500,13.90000,Tolarate,,
0.31500,13.90000,Tolarate,,
0.31500,13.80000,Tolarate,,
0.31400,13.70000,Tolarate,,
0.31400,13.60000,Tolarate,,
0.31400,13.50000,Tolarate,,
0.31300,13.40000,Tolarate,,
0.31300,13.30000,Tolarate,,
0.31200,13.20000,Tolarate,,
0.31200,13.10000,Tolarate,,
0.31000,13.00000,Tolarate,,
0.31000,13.00000,Tolarate,,
0.27000,5.10000,Tolarate,,
0.30000,11.40000,Tolarate,,
0.30900,13.30000,Tolarate,,
0.30900,13.50000,Tolarate,,
0.31000,13.80000,Tolarate,,
0.31000,14.10000,Tolarate,,
0.31100,14.40000,Tolarate,,
0.31100,14.60000,Tolarate,,
0.31100,14.70000,Tolarate,,
0.31100,14.80000,Tolarate,,
0.31100,14.90000,Tolarate,,
0.31100,14.80000,Tolarate,,
0.31100,14.80000,Tolarate,,
0.31000,14.70000,Tolarate,,
0.31000,14.70000,Tolarate,,
0.31000,14.60000,Tolarate,,
0.31000,14.50000,Tolarate,,
0.30900,14.40000,Tolarate,,
0.30900,14.30000,Tolarate,,
0.30800,14.20000,Tolarate,,
0.30800,14.10000,Tolarate,,
0.30800,14.00000,Tolarate,,
0.30700,14.00000,Tolarate,,
0.30600,13.90000,Tolarate,,
0.30600,13.90000,Tolarate,,
0.30600,14.00000,Tolarate,,
0.30500,14.10000,Tolarate,,
0.30500,14.20000,Tolarate,,
0.30500,14.40000,Tolarate,,
0.30600,14.70000,Tolarate,,
0.30600,14.90000,Tolarate,,
0.30600,15.10000,Tolarate,,
0.30600,15.20000,Tolarate,,
0.30600,15.20000,Tolarate,,
0.30700,15.30000,Tolarate,,
0.30600,15.20000,Tolarate,,
0.30600,15.20000,Tolarate,,
0.30600,15.10000,Tolarate,,
0.30500,15.00000,Tolarate,,
0.30500,14.90000,Tolarate,,
0.30500,14.80000,Tolarate,,
0.30400,14.70000,Tolarate,,
0.30300,14.70000,Tolarate,,
0.30300,14.50000,Tolarate,,
0.30300,14.40000,Tolarate,,
0.30200,14.40000,Tolarate,,
0.30200,14.30000,Tolarate,,
0.30200,14.20000,Tolarate,,
0.30200,14.10000,Tolarate,,
0.30200,14.00000,Tolarate,,
0.30100,14.00000,Tolarate,,
0.30100,14.00000,Tolarate,,
0.30100,14.00000,Tolarate,,
0.30000,14.00000,Tolarate,,
0.30000,14.00000,Tolarate,,
0.30000,14.10000,Tolarate,,
0.30000,14.10000,Tolarate,,
0.30000,14.10000,Tolarate,,
0.30000,14.10000,Tolarate,,
0.30000,14.10000,Tolarate,,
0.30000,14.00000,Tolarate,,
0.29900,14.00000,Tolarate,,
0.29900,13.90000,Tolarate,,
0.29900,13.80000,Tolarate,,
0.29800,13.70000,Tolarate,,
0.29800,13.70000,Tolarate,,
0.29800,13.60000,Tolarate,,
0.29700,13.50000,Tolarate,,
0.29700,13.40000,Tolarate,,
0.29700,13.30000,Tolarate,,
0.29600,13.20000,Tolarate,,
0.29500,13.20000,Tolarate,,
0.29500,13.20000,Tolarate,,
0.29400,13.30000,Tolarate,,
0.29400,13.40000,Tolarate,,
0.29500,13.60000,Tolarate,,
0.29500,13.90000,Tolarate,,
0.29500,14.10000,Tolarate,,
0.29600,14.40000,Tolarate,,
0.29700,14.60000,Tolarate,,
0.29600,14.70000,Tolarate,,
0.29700,14.70000,Tolarate,,
0.29700,14.80000,Tolarate,,
0.29700,14.70000,Tolarate,,
0.29600,14.60000,Tolarate,,
0.29500,14.60000,Tolarate,,
0.29500,14.40000,Tolarate,,
0.29500,14.30000,Tolarate,,
0.29500,14.20000,Tolarate,,
0.29400,14.10000,Tolarate,,
0.29300,14.00000,Tolarate,,
0.29300,13.80000,Tolarate,,
0.29200,13.70000,Tolarate,,
0.29200,13.60000,Tolarate,,
0.29100,13.50000,Tolarate,,
0.29000,13.40000,Tolarate,,
0.29000,13.30000,Tolarate,,
0.29000,13.40000,Tolarate,,
0.29000,13.50000,Tolarate,,
0.29000,13.70000,Tolarate,,
0.29000,13.90000,Tolarate,,
0.29000,14.10000,Tolarate,,
0.29000,14.20000,Tolarate,,
0.29000,14.30000,Tolarate,,
0.29100,14.30000,Tolarate,,
0.29100,14.30000,Tolarate,,
0.29000,14.30000,Tolarate,,
0.29000,14.20000,Tolarate,,
0.29000,14.10000,Tolarate,,
0.29000,14.00000,Tolarate,,
0.28900,13.90000,Tolarate,,
0.28900,13.70000,Tolarate,,
0.28800,13.60000,Tolarate,,
0.28800,13.50000,Tolarate,,
0.28800,13.40000,Tolarate,,
0.28700,13.20000,Tolarate,,
0.28700,13.10000,Tolarate,,
0.28600,13.00000,Tolarate,,
0.28600,12.90000,Tolarate,,
0.28600,12.90000,Tolarate,,
0.28500,12.80000,Tolarate,,
0.28500,12.80000,Tolarate,,
0.28500,12.80000,Tolarate,,
0.28400,12.80000,Tolarate,,
0.28400,12.80000,Tolarate,,
0.28400,12.80000,Tolarate,,
0.28500,12.80000,Tolarate,,
0.28400,12.80000,Tolarate,,
0.28400,12.70000,Tolarate,,
0.28400,12.70000,Tolarate,,
0.28400,12.70000,Tolarate,,
0.28400,12.60000,Tolarate,,
0.28300,12.50000,Tolarate,,
0.28400,12.50000,Tolarate,,
0.28300,12.40000,Tolarate,,
0.28300,12.30000,Tolarate,,
0.28300,12.30000,Tolarate,,
0.28200,12.20000,Tolarate,,
0.28200,12.10000,Tolarate,,
0.28300,12.10000,Tolarate,,
0.28200,12.00000,Tolarate,,
0.28100,12.00000,Tolarate,,
0.28100,11.90000,Tolarate,,
0.28000,11.90000,Tolarate,,
0.28000,12.00000,Tolarate,,
0.28000,12.10000,Tolarate,,
0.28000,12.20000,Tolarate,,
0.28000,12.40000,Tolarate,,
0.28100,12.70000,Tolarate,,
0.28200,13.00000,Tolarate,,
0.28200,13.20000,Tolarate,,
0.28300,13.40000,Tolarate,,
0.28300,13.60000,Tolarate,,
0.28300,13.70000,Tolarate,,
0.28300,13.70000,Tolarate,,
0.28400,13.70000,Tolarate,,
0.28400,13.70000,Tolarate,,
0.28300,13.60000,Tolarate,,
0.28300,13.60000,Tolarate,,
0.28200,13.50000,Tolarate,,
0.28200,13.40000,Tolarate,,
0.28200,13.30000,Tolarate,,
0.28100,13.20000,Tolarate,,
0.28100,13.10000,Tolarate,,
0.28100,13.00000,Tolarate,,
0.28000,12.90000,Tolarate,,
0.27900,12.80000,Tolarate,,
0.27900,12.80000,Tolarate,,
0.27900,12.80000,Tolarate,,
0.27900,12.80000,Tolarate,,
0.27900,12.90000,Tolarate,,
0.27900,12.90000,Tolarate,,
0.27900,12.90000,Tolarate,,
0.27900,13.00000,Tolarate,,
0.27900,13.00000,Tolarate,,
0.27900,13.00000,Tolarate,,
0.27900,13.00000,Tolarate,,
0.27900,13.00000,Tolarate,,
0.27900,13.00000,Tolarate,,
0.27900,12.90000,Tolarate,,
0.27900,12.90000,Tolarate,,
0.27900,12.90000,Tolarate,,
0.27900,12.80000,Tolarate,,
0.27900,12.80000,Tolarate,,
0.27900,12.70000,Tolarate,,
0.27900,12.70000,Tolarate,,
0.27800,12.70000,Tolarate,,
0.27800,12.60000,Tolarate,,
0.27800,12.60000,Tolarate,,
0.27800,12.50000,Tolarate,,
0.27800,12.50000,Tolarate,,
0.27800,12.50000,Tolarate,,
0.27700,12.50000,Tolarate,,
0.27700,12.50000,Tolarate,,
0.27800,12.50000,Tolarate,,
0.27800,12.60000,Tolarate,,
0.27800,12.70000,Tolarate,,
0.27800,12.80000,Tolarate,,
0.27800,13.00000,Tolarate,,
0.27800,13.10000,Tolarate,,
0.27900,13.20000,Tolarate,,
0.27900,13.30000,Tolarate,,
0.27900,13.30000,Tolarate,,
0.27900,13.30000,Tolarate,,
0.28000,13.30000,Tolarate,,
0.27900,13.30000,Tolarate,,
0.27900,13.30000,Tolarate,,
0.27900,13.20000,Tolarate,,
0.27900,13.20000,Tolarate,,
0.27900,13.10000,Tolarate,,
0.27900,13.00000,Tolarate,,
0.27800,13.00000,Tolarate,,
0.27700,12.90000,Tolarate,,
0.27700,12.80000,Tolarate,,
0.27700,12.70000,Tolarate,,
0.27600,12.70000,Tolarate,,
0.27500,12.70000,Tolarate,,
0.27500,12.80000,Tolarate,,
0.27500,13.00000,Tolarate,,
0.27600,13.20000,Tolarate,,
0.27600,13.50000,Tolarate,,
0.27700,13.80000,Tolarate,,
0.27800,14.10000,Tolarate,,
0.27900,14.30000,Tolarate,,
0.27900,14.40000,Tolarate,,
0.27900,14.50000,Tolarate,,
0.27900,14.60000,Tolarate,,
0.27900,14.60000,Tolarate,,
0.27900,14.50000,Tolarate,,
0.27900,14.50000,Tolarate,,
0.27900,14.40000,Tolarate,,
0.27800,14.30000,Tolarate,,
0.27700,14.20000,Tolarate,,
0.27700,14.10000,Tolarate,,
0.27700,14.00000,Tolarate,,
0.27600,13.90000,Tolarate,,
0.27600,13.70000,Tolarate,,
0.27500,13.60000,Tolarate,,
0.27300,13.80000,Tolarate,,
0.27300,14.00000,Tolarate,,
0.27500,14.40000,Tolarate,,
0.27500,14.70000,Tolarate,,
0.27500,15.00000,Tolarate,,
0.27700,15.50000,Tolarate,,
0.27800,15.50000,Tolarate,,
0.27700,15.50000,Tolarate,,
0.27700,15.40000,Tolarate,,
0.27600,15.30000,Tolarate,,
0.27600,15.30000,Tolarate,,
0.27600,15.10000,Tolarate,,
0.27500,15.00000,Tolarate,,
0.27500,14.90000,Tolarate,,
0.27400,14.80000,Tolarate,,
0.27400,14.70000,Tolarate,,
0.27300,14.60000,Tolarate,,
0.27200,14.50000,Tolarate,,
0.27000,14.50000,Tolarate,,
0.27000,14.70000,Tolarate,,
0.27000,14.90000,Tolarate,,
0.27100,15.20000,Tolarate,,
0.27100,15.60000,Tolarate,,
0.27100,15.90000,Tolarate,,
0.27200,16.10000,Tolarate,,
0.27300,16.20000,Tolarate,,
0.27300,16.30000,Tolarate,,
0.27300,16.30000,Tolarate,,
0.27300,16.30000,Tolarate,,
0.27300,16.30000,Tolarate,,
0.27300,16.30000,Tolarate,,
0.27300,16.20000,Tolarate,,
0.27300,16.10000,Tolarate,,
0.27100,16.00000,Tolarate,,
0.27100,15.90000,Tolarate,,
0.27100,15.80000,Tolarate,,
0.27000,15.70000,Tolarate,,
0.27000,15.60000,Tolarate,,
0.26900,15.50000,Tolarate,,
0.26900,15.40000,Tolarate,,
0.26800,15.30000,Tolarate,,
0.26800,15.20000,Tolarate,,
0.26600,15.20000,Tolarate,,
0.26600,15.20000,Tolarate,,
0.26600,15.30000,Tolarate,,
0.26600,15.50000,Tolarate,,
0.26600,15.70000,Tolarate,,
0.26700,15.90000,Tolarate,,
0.26700,16.00000,Tolarate,,
0.26700,16.00000,Tolarate,,
0.26700,16.00000,Tolarate,,
0.26700,16.00000,Tolarate,,
0.26600,15.90000,Tolarate,,
0.26700,15.80000,Tolarate,,
0.26600,15.70000,Tolarate,,
0.26500,15.50000,Tolarate,,
0.26500,15.40000,Tolarate,,
0.26400,15.20000,Tolarate,,
0.26300,15.00000,Tolarate,,
0.26300,14.90000,Tolarate,,
0.26200,14.70000,Tolarate,,
0.26100,14.60000,Tolarate,,
0.26100,14.50000,Tolarate,,
0.26000,14.40000,Tolarate,,
0.25900,14.30000,Tolarate,,
0.25900,14.30000,Tolarate,,
0.25900,14.30000,Tolarate,,
0.25900,14.40000,Tolarate,,
0.25800,14.50000,Tolarate,,
0.25900,14.70000,Tolarate,,
0.25900,15.00000,Tolarate,,
0.26000,15.20000,Tolarate,,
0.26000,15.30000,Tolarate,,
0.26000,15.40000,Tolarate,,
0.26100,15.40000,Tolarate,,
0.26100,15.40000,Tolarate,,
0.26000,15.40000,Tolarate,,
0.26000,15.30000,Tolarate,,
0.26000,15.20000,Tolarate,,
0.25900,15.00000,Tolarate,,
0.25800,14.90000,Tolarate,,
0.25800,14.70000,Tolarate,,
0.25800,14.60000,Tolarate,,
0.25700,14.50000,Tolarate,,
0.25600,14.30000,Tolarate,,
0.25600,14.10000,Tolarate,,
0.25500,14.00000,Tolarate,,
0.25400,13.90000,Tolarate,,
0.25400,13.80000,Tolarate,,
0.25300,13.80000,Tolarate,,
0.25300,13.90000,Tolarate,,
0.25200,14.00000,Tolarate,,
0.25300,14.20000,Tolarate,,
0.25400,14.40000,Tolarate,,
0.25400,14.70000,Tolarate,,
0.25500,14.90000,Tolarate,,
0.25500,15.00000,Tolarate,,
0.25600,15.10000,Tolarate,,
0.25500,15.20000,Tolarate,,
0.25600,15.20000,Tolarate,,
0.25500,15.10000,Tolarate,,
0.25500,15.00000,Tolarate,,
0.25400,14.90000,Tolarate,,
0.25400,14.80000,Tolarate,,
0.25300,14.60000,Tolarate,,
0.25300,14.50000,Tolarate,,
0.25200,14.30000,Tolarate,,
0.25200,14.20000,Tolarate,,
0.25200,14.00000,Tolarate,,
0.25100,13.90000,Tolarate,,
0.25100,13.70000,Tolarate,,
0.25000,13.60000,Tolarate,,
0.25000,13.60000,Tolarate,,
0.25000,13.60000,Tolarate,,
0.25000,13.70000,Tolarate,,
0.25000,13.90000,Tolarate,,
0.25000,14.10000,Tolarate,,
0.25000,14.50000,Tolarate,,
0.25100,14.80000,Tolarate,,
0.25100,15.10000,Tolarate,,
0.25100,15.30000,Tolarate,,
0.25200,15.40000,Tolarate,,
0.25200,15.50000,Tolarate,,
0.25200,15.50000,Tolarate,,
0.25200,15.40000,Tolarate,,
0.25100,15.40000,Tolarate,,
0.25100,15.30000,Tolarate,,
0.25100,15.20000,Tolarate,,
0.25100,15.10000,Tolarate,,
0.25000,14.90000,Tolarate,,
